Transaction Date, Transaction Amount, Notes, Transaction Type, Entity
2/14/2020,-23.57,-,"POS Purchase           ","FPOS SOBEYS #375         FREDE"
2/14/2020,-6.85,-,"POS Purchase           ","FPOS TIM HORTONS #0176   FREDE"
2/13/2020,-100.00,-,"Miscellaneous Payment  ","PAYPAL                       "
2/12/2020,-11.01,-,"POS Purchase           ","FPOS DAIRY QUEEN #12079  FREDE"
2/12/2020,-71.63,-,"POS Purchase           ","WALMARTSTORE#1067        FREDE"
2/12/2020,-180.00,-,"ABM Withdrawal",""
2/11/2020,-12.01,-,"POS Purchase           ","FPOS MCDONALD'S #5483    FREDE"
2/10/2020,-4.99,-,"POS Purchase           ","OPOS Spotify P0E89649A6  Stock"
2/5/2020,-12.49,-,"POS Purchase           ","FPOS 9283 CARLETON CO-OP FLORE"
2/3/2020,-370.00,-,"Rent/Lease             ","SKYFALL                      "
2/3/2020,-4.00,-,"POS Purchase           ","FPOS TIM HORTONS #2598   WOODS"
2/3/2020,-65.00,-,"POS Purchase           ","FPOS MURRAY'S IRVING     BEARD"
1/31/2020,-471.42,-,"POS Purchase           ","OPOS BELL ALIANT ONLINE #SAINT"
1/30/2020,-6.89,-,"POS Purchase           ","FPOS DAIRY QUEEN #12176  FREDE"
1/30/2020,-12.29,-,"POS Purchase           ","SOBEYS 375               FREDE"
1/29/2020,-25.49,-,"POS Purchase           ","FPOS HANWELL ROAD IRVING HANWE"
1/29/2020,-8.05,-,"POS Purchase           ","FPOS BURGER KING #20441  FREDE"
1/29/2020,-34.50,-,"POS Purchase           ","FPOS MOFFITT'S CONVENIENCHARVE"
1/28/2020,-13.20,-,"POS Purchase           ","FPOS A&W #7218           FREDE"
1/27/2020,-8.04,-,"POS Purchase           ","FPOS BURGER KING #23282  FREDE"
