Name% Location% Arena%
Iowa Wolves%	Des Moines, Iowa%	Wells Fargo Arena%
Memphis Hustle%	Southaven, Mississippi%	Landers Center%
Oklahoma City Blue%	Oklahoma City, Oklahoma%	Cox Convention Center%
Sioux Falls Skyforce%	Sioux Falls, South Dakota%	Sanford Pentagon%
Southwest	Austin Spurs%	Cedar Park, Texas%	H-E-B Center%
Rio Grande Valley Vipers%	Edinburg, Texas%	Bert Ogden Arena%
Salt Lake City Stars%	Salt Lake City, Utah%	Lifetime Activities Center-Bruin Arena%
Texas Legends%	Frisco, Texas%	Dr Pepper Arena%
Agua Caliente Clippers%	Ontario, California%	Toyota Arena%
Arizona Suns%	Prescott Valley, Arizona%	Findlay Toyota Center%
Santa Cruz Warriors%	Santa Cruz, California%	Kaiser Permanente Arena%
South Bay Lakers%	El Segundo, California%	UCLA Health Training Center%
Stockton Kings%	Stockton, California%	Stockton Arena%
Atlanta Dream%	College Park, Georgia%	Gateway Center Arena%
Chicago Sky%	Chicago, Illinois%	Wintrust Arena%
Connecticut Sun%	Uncasville, Connecticut%	Mohegan Sun Arena%
Indiana Fever%	Indianapolis, Indiana%	Hinkle Fieldhouse[a]%
New York Liberty%	New York City (Brooklyn)%	Barclays Center%
Washington Mystics%	Washington, D.C.%	St. Elizabeths East Entertainment and Sports Arena%
Dallas Wings%	Arlington, Texas%	College Park Center%
Las Vegas Aces%	Paradise, Nevada%	Mandalay Bay Events Center%
Los Angeles Sparks%	Los Angeles, California%	Staples Center%
Minnesota Lynx%	Minneapolis, Minnesota%	Target Center%
Phoenix Mercury%	Phoenix, Arizona%	Arizona Veterans Memorial Coliseum[b]%
Seattle Storm%	Seattle, Washington%	Alaska Airlines Arena[c]%
Buffalo Bills%	Orchard Park, New York%	New Era Field%
Miami Dolphins%	Miami Gardens, Florida%	Hard Rock Stadium%
New England Patriots%	Foxborough, Massachusetts%	Gillette Stadium%
New York Jets%	East Rutherford, New Jersey%	MetLife Stadium%
Baltimore Ravens%	Baltimore, Maryland%	M&T Bank Stadium%
Cincinnati Bengals%	Cincinnati, Ohio%	Paul Brown Stadium%
Cleveland Browns%	Cleveland, Ohio%	FirstEnergy Stadium%
Pittsburgh Steelers%	Pittsburgh, Pennsylvania%	Heinz Field%
Houston Texans%	Houston, Texas	NRG Stadium%
Indianapolis Colts%	Indianapolis, Indiana%	Lucas Oil Stadium%
Jacksonville Jaguars%	Jacksonville, Florida%	TIAA Bank Field%
Tennessee Titans%	Nashville, Tennessee%	Nissan Stadium%
Denver Broncos%	Denver, Colorado%	Empower Field at Mile High%
Kansas City Chiefs%	Kansas City, Missouri%	Arrowhead Stadium%
Las Vegas Raiders%	Paradise, Nevada%	Allegiant Stadium%
Los Angeles Chargers%	Inglewood, California%	SoFi Stadium%
Dallas Cowboys%	Arlington, Texas%	AT&T Stadium%
New York Giants%	East Rutherford, New Jersey%	MetLife Stadium%
Philadelphia Eagles%	Philadelphia, Pennsylvania%	Lincoln Financial Field%
Washington Redskins%	Landover, Maryland%	FedExField%
Chicago Bears%	Chicago, Illinois%	Soldier Field%
Detroit Lions%	Detroit, Michigan%	Ford Field%
Green Bay Packers%	Green Bay, Wisconsin%	Lambeau Field%
Minnesota Vikings%	Minneapolis, Minnesota%	U.S. Bank Stadium%
Atlanta Falcons%	Atlanta, Georgia%	Mercedes-Benz Stadium%
Carolina Panthers%	Charlotte, North Carolina%	Bank of America Stadium%
New Orleans Saints%	New Orleans, Louisiana%	Mercedes-Benz Superdome%
Tampa Bay Buccaneers%	Tampa, Florida%	Raymond James Stadium%
Arizona Cardinals%	Glendale, Arizona%	State Farm Stadium%
Los Angeles Rams%	Inglewood, California%	SoFi Stadium%
San Francisco 49ers%	Santa Clara, California%	Levi's Stadium%
Seattle Seahawks%	Seattle, Washington%	CenturyLink Field%
Hamilton Tiger-Cats%	Hamilton, Ontario%	Tim Hortons Field%
Montreal Alouettes%	Montreal, Quebec%	Percival Molson Memorial Stadium%
Ottawa Redblacks%	Ottawa, Ontario%	TD Place Stadium%
Toronto Argonauts%	Toronto, Ontario%	BMO Field%
BC Lions%	Vancouver, British Columbia%	BC Place%
Calgary Stampeders%	Calgary, Alberta%	McMahon Stadium%
Edmonton Eskimos%	Edmonton, Alberta%	Commonwealth Stadium%
Saskatchewan Roughriders%	Regina, Saskatchewan%	Mosaic Stadium%
Winnipeg Blue Bombers%	Winnipeg, Manitoba%	IG Field%
